,ID_Distrito,Periodo,Espaniola,Extranjera,Total
0,1,2018,-631,991,359
1,1,2019,806,1728,2533
2,1,2020,2362,3314,5677
3,1,2021,-2015,2637,622
4,1,2022,-1947,519,-1430
5,10,2018,-506,2469,1966
6,10,2019,-675,3125,2449
7,10,2020,-230,4250,4022
8,10,2021,-3706,1079,-2632
9,10,2022,-1543,-966,-2511
10,11,2018,697,3533,4232
11,11,2019,20,4836,4856
12,11,2020,1117,6203,7321
13,11,2021,-3386,1090,-2297
14,11,2022,-1316,-1219,-2538
15,12,2018,-36,2257,2223
16,12,2019,-118,2616,2497
17,12,2020,53,3403,3456
18,12,2021,-1600,756,-844
19,12,2022,-133,-1170,-1301
20,13,2018,-184,3110,2926
21,13,2019,-415,4658,4243
22,13,2020,574,5671,6248
23,13,2021,-3875,1299,-2578
24,13,2022,-1541,-1209,-2752
25,14,2018,-367,393,26
26,14,2019,-616,914,297
27,14,2020,-171,1260,1089
28,14,2021,-1975,-72,-2048
29,14,2022,-1079,-121,-1200
30,15,2018,190,1774,1967
31,15,2019,-670,2435,1761
32,15,2020,561,3176,3737
33,15,2021,-3879,259,-3620
34,15,2022,-1719,-646,-2365
35,16,2018,2332,1125,3455
36,16,2019,2346,2014,4360
37,16,2020,3001,2138,5139
38,16,2021,-965,356,-609
39,16,2022,241,332,573
40,17,2018,575,2360,2934
41,17,2019,527,2755,3284
42,17,2020,1797,3842,5638
43,17,2021,-911,887,-25
44,17,2022,-177,-405,-585
45,18,2018,2368,925,3295
46,18,2019,1355,1423,2783
47,18,2020,2220,1966,4189
48,18,2021,-692,619,-77
49,18,2022,55,298,353
50,19,2018,562,354,917
51,19,2019,556,618,1174
52,19,2020,1046,892,1941
53,19,2021,970,429,1399
54,19,2022,3285,527,3808
55,2,2018,706,305,1010
56,2,2019,171,744,917
57,2,2020,824,1088,1912
58,2,2021,-2147,266,-1877
59,2,2022,-930,-338,-1272
60,20,2018,209,1644,1853
61,20,2019,-151,2117,1967
62,20,2020,282,2785,3070
63,20,2021,-2024,647,-1379
64,20,2022,-922,-77,-1002
65,21,2018,725,194,919
66,21,2019,760,392,1151
67,21,2020,649,439,1088
68,21,2021,-152,78,-71
69,21,2022,214,-84,129
70,3,2018,140,366,505
71,3,2019,-523,861,338
72,3,2020,209,977,1186
73,3,2021,-2364,79,-2284
74,3,2022,-713,96,-617
75,4,2018,361,1082,1443
76,4,2019,-308,1194,886
77,4,2020,-229,2056,1827
78,4,2021,-2916,700,-2217
79,4,2022,-868,622,-247
80,5,2018,1085,442,1528
81,5,2019,247,641,887
82,5,2020,727,1081,1808
83,5,2021,-2415,234,-2185
84,5,2022,-938,-247,-1184
85,6,2018,744,1501,2248
86,6,2019,119,1906,2024
87,6,2020,1050,2448,3497
88,6,2021,-2241,141,-2101
89,6,2022,-1322,-713,-2034
90,7,2018,438,461,899
91,7,2019,71,1000,1072
92,7,2020,169,1314,1483
93,7,2021,-3048,304,-2743
94,7,2022,-1071,146,-925
95,8,2018,2804,1523,4327
96,8,2019,1456,1632,3088
97,8,2020,1935,2061,3996
98,8,2021,-2783,-137,-2921
99,8,2022,-211,-645,-856
100,9,2018,740,177,913
101,9,2019,704,859,1566
102,9,2020,1187,1189,2375
103,9,2021,-1441,281,-1161
104,9,2022,94,-351,-257
