,ID_Distrito,Precio,Descripcion
0,17,850,"Piso En Alquiler En Villaverde, Madrid, Madrid"
1,7,1100,"Piso En Alquiler En Calle Cristobal Bordiu, Ríos Rosas, Chamberí, Madrid, Madrid"
2,4,2000,"Apartamento En Alquiler En Calle Fundadores, Fuente Del Berro, Salamanca, Madrid, Madrid"
3,15,744,"Piso En Alquiler En Calle Pepe Isbert, Pueblo Nuevo, Ciudad Lineal, Madrid, Madrid"
4,13,750,"Estudio En Alquiler En Calle Embalse De Navacerrada, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
5,13,750,"Piso En Alquiler En Avenida Ensanche De Vallecas, Ensanche De Vallecas, Villa De Vallecas-Ensanche Y Santa Eugenia, Madrid, Madrid"
6,21,790,"Estudio En Alquiler En Calle Duque, Casco Histórico De Barajas, Barajas, Madrid, Madrid"
7,21,790,"Estudio En Alquiler En Calle Duque, Casco Histórico De Barajas, Barajas, Madrid, Madrid"
8,13,800,"Piso En Alquiler En Avenida Buenos Aires, Palomeras Bajas, Puente De Vallecas, Madrid, Madrid"
9,20,850,"Piso En Alquiler En Calle Castillo De Simancas, Simancas, San Blas-Canillejas, Madrid, Madrid"
10,2,900,"Piso En Alquiler En Calle Embajadores, Delicias, Arganzuela, Madrid, Madrid"
11,6,900,"Estudio En Alquiler En Calle Alonso Castrillo, Castillejos, Tetuán, Madrid, Madrid"
12,7,950,"Estudio En Alquiler En Calle Virtudes , Almagro, Chamberí, Madrid, Madrid"
13,9,950,"Piso En Alquiler En Madrid, Madrid"
14,2,980,"Piso En Alquiler En Calle Caceres, Delicias, Arganzuela, Madrid, Madrid"
15,10,980,"Piso En Alquiler En Calle General Millan Astray, Las Águilas, Latina, Madrid, Madrid"
16,6,1000,"Piso En Alquiler En Calle Juan De Olías, Tetuán, Madrid, Madrid"
17,17,1000,"Dúplex En Alquiler En Calle Laguna Del Marquesado, San Cristóbal, Villaverde, Madrid, Madrid"
18,16,1000,"Piso En Alquiler En Calle Cervera, Pinar Del Rey, Hortaleza, Madrid, Madrid"
19,10,1000,"Piso En Alquiler En Calle Antonio Zamora, 34, Puerta Del Ángel, Latina, Madrid, Madrid"
20,8,1045,"Piso En Alquiler En Carretera Fuencarral Alcobendas, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
21,3,1050,"Piso En Alquiler En Paseo Reina Cristina, Jerónimos, Retiro, Madrid, Madrid"
22,10,1050,"Piso En Alquiler En Calle Rafael Finat, Las Águilas, Latina, Madrid, Madrid"
23,8,1100,"Piso En Alquiler En Calle Chantada, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
24,1,1100,"Piso En Alquiler En Calle De La Magdalena, Embajadores, Centro, Madrid, Madrid"
25,1,1100,"Apartamento En Alquiler En Calle Conde Duque, Universidad, Centro, Madrid, Madrid"
26,2,1100,"Piso En Alquiler En Calle Embajadores, Delicias, Arganzuela, Madrid, Madrid"
27,20,1100,"Piso En Alquiler En Calle Nectar, Canillejas, San Blas-Canillejas, Madrid, Madrid"
28,10,1100,"Piso En Alquiler En Calle Carlina, Lucero, Latina, Madrid, Madrid"
29,11,1100,"Piso En Alquiler En Calle Cuart De Poblet, Vista Alegre, Carabanchel, Madrid, Madrid"
30,16,1200,"Piso En Alquiler En Calle Princesa De Eboli, Sanchinarro-Valdefuentes, Hortaleza, Madrid, Madrid"
31,8,1200,"Piso En Alquiler En Plaza Mondariz, Pilar, Fuencarral-El Pardo, Madrid, Madrid"
32,10,1200,"Piso En Alquiler En Calle Camarena, Aluche, Latina, Madrid, Madrid"
33,17,1200,"Dúplex En Alquiler En Calle Laguna Del Marquesado, San Cristóbal, Villaverde, Madrid, Madrid"
34,10,1200,"Piso En Alquiler En Calle Juan Tornero, 46, Puerta Del Ángel, Latina, Madrid, Madrid"
35,5,1250,"Piso En Alquiler En Calle Lopez De Hoyos, Prosperidad, Chamartín, Madrid, Madrid"
36,16,1250,"Piso En Alquiler En Travesia Cañas, Hortaleza, Madrid, Madrid"
37,10,1280,"Piso En Alquiler En Paseo Extremadura, 11, Puerta Del Ángel, Latina, Madrid, Madrid"
38,16,1290,"Piso En Alquiler En Calle Pintor Antonio Saura, Sanchinarro-Valdefuentes, Hortaleza, Madrid, Madrid"
39,9,1300,"Piso En Alquiler En Moncloa-Aravaca, Madrid, Madrid"
40,2,1300,"Piso En Alquiler En Calle Cáceres, Delicias, Arganzuela, Madrid, Madrid"
41,6,1300,"Piso En Alquiler En Calle Reina Mercedes, Cuatro Caminos, Tetuán, Madrid, Madrid"
42,4,1300,"Piso En Alquiler En Calle Cartagena, Guindalera, Salamanca, Madrid, Madrid"
43,16,1300,"Piso En Alquiler En Calle Emiliano Barral, Hortaleza, Madrid, Madrid"
44,8,1350,"Piso En Alquiler En Calle Castiello De Jaca, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
45,15,1400,"Piso En Alquiler En Calle San Telesforo, Pueblo Nuevo, Ciudad Lineal, Madrid, Madrid"
46,1,1400,"Piso En Alquiler En Embajadores, Centro, Madrid, Madrid"
47,2,1400,"Piso En Alquiler En Calle Juan Sebastian Elcano, Palos De Moguer, Arganzuela, Madrid, Madrid"
48,2,1400,"Piso En Alquiler En Paseo De Las Delicias, Delicias, Arganzuela, Madrid, Madrid"
49,4,1400,"Piso En Alquiler En Calle Agustin Duran, Guindalera, Salamanca, Madrid, Madrid"
50,16,1400,"Piso En Alquiler En Calle Santa Virgilia, Pinar Del Rey, Hortaleza, Madrid, Madrid"
51,8,1470,"Piso En Alquiler En Avenida Monasterio De El Escorial, Montecarmelo, Fuencarral-El Pardo, Madrid, Madrid"
52,4,1500,"Piso En Alquiler En Calle Sancho Dávila, Fuente Del Berro, Salamanca, Madrid, Madrid"
53,4,1500,"Piso En Alquiler En Calle Camilo Jose Cela, Guindalera, Salamanca, Madrid, Madrid"
54,1,1500,"Dúplex En Alquiler En Calle Amor De Dios, Cortes, Centro, Madrid, Madrid"
55,7,1500,"Piso En Alquiler En Paseo San Francisco De Sales, Vallehermoso, Chamberí, Madrid, Madrid"
56,5,1500,"Piso En Alquiler En Calle Clara Del Rey, Prosperidad, Chamartín, Madrid, Madrid"
57,8,1500,"Piso En Alquiler En Calle Poblacion De Campos, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
58,7,1500,"Piso En Alquiler En Calle Escosura, Arapiles, Chamberí, Madrid, Madrid"
59,5,1500,"Piso En Alquiler En Calle Colombia, Hispanoamérica, Chamartín, Madrid, Madrid"
60,10,1500,"Piso En Alquiler En Paseo Extremadura, Puerta Del Ángel, Latina, Madrid, Madrid"
61,8,1530,"Piso En Alquiler En Calle Obanos, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
62,8,1550,"Piso En Alquiler En Calle Redecilla Del Camino, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
63,3,1600,"Piso En Alquiler En Calle Doctor Esquerdo, Niño Jesús, Retiro, Madrid, Madrid"
64,8,1600,"Piso En Alquiler En Calle Redecilla Del Camino, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
65,8,1600,"Piso En Alquiler En Calle Viloria De La Rioja, Fuencarral-El Pardo, Madrid, Madrid"
66,6,1600,"Piso En Alquiler En Calle Lerida, Cuatro Caminos, Tetuán, Madrid, Madrid"
67,8,1625,"Piso En Alquiler En Calle Sierra De Atapuerca, Valverde, Fuencarral-El Pardo, Madrid, Madrid"
68,5,1650,"Piso En Alquiler En Calle Clara Del Rey, Prosperidad, Chamartín, Madrid, Madrid"
69,15,1750,"Piso En Alquiler En Calle Caleruega, Costillares, Ciudad Lineal, Madrid, Madrid"
70,16,1750,"Piso En Alquiler En Avenida Ramon Y Cajal, Hortaleza, Madrid, Madrid"
71,6,1800,"Piso En Alquiler En Paseo De La Castellana, Almenara, Tetuán, Madrid, Madrid"
72,6,1800,"Piso En Alquiler En Avenida General Perón, Cuatro Caminos, Tetuán, Madrid, Madrid"
73,5,1800,"Piso En Alquiler En Calle Costa Rica, Chamartín, Madrid, Madrid"
