A–o,Categor’a,01. Centro,02. Arganzuela,03. Retiro,04. Salamanca,05. Chamart’n,06. Tetu‡n,07. Chamber’,08. Fuencarral-El Pardo,09. Moncloa-Aravaca,10. Latina,11. Carabanchel,12. Usera,13. Puente de Vallecas,14. Moratalaz,15. Ciudad Lineal,16. Hortaleza,17. Villaverde,18. Villa de Vallecas,19. Vic‡lvaro,20. San Blas-Canillejas,21. Barajas
2018,Total,359,1.010,505,1.443,1.528,2.248,899,4.327,913,1.966,4.232,2.223,2.926,26,1.967,3.455,2.934,3.295,917,1.853,919
2018,Espa–ola,-631,706,140,361,1.085,744,438,2.804,740,-506,697,-36,-184,-367,190,2.332,575,2.368,562,209,725
2018,Extranjera,991,305,366,1.082,442,1.501,461,1.523,177,2.469,3.533,2.257,3.110,393,1.774,1.125,2.360,925,354,1.644,194
2018,Total,-14,827,504,880,964,1.522,755,3.609,1.330,1.806,3.871,2.217,3.538,218,1.411,3.738,3.037,2.828,706,1.699,911
2018,Espa–ola,-1.018,253,-116,-118,456,32,136,1.960,839,-878,-214,-216,-371,-412,-594,2.216,505,1.643,282,-73,638
2018,Extranjera,1.005,572,621,998,507,1.486,618,1.648,491,2.688,4.084,2.435,3.909,630,2.010,1.523,2.530,1.182,424,1.772,274
2019,Total,2.533,917,338,886,887,2.024,1.072,3.088,1.566,2.449,4.856,2.497,4.243,297,1.761,4.360,3.284,2.783,1.174,1.967,1.151
2019,Espa–ola,806,171,-523,-308,247,119,71,1.456,704,-675,20,-118,-415,-616,-670,2.346,527,1.355,556,-151,760
2019,Extranjera,1.728,744,861,1.194,641,1.906,1.000,1.632,859,3.125,4.836,2.616,4.658,914,2.435,2.014,2.755,1.423,618,2.117,392
2019,Total,6.668,1.737,896,1.712,1.812,3.149,1.419,3.591,1.856,3.731,6.446,3.142,5.668,851,3.038,5.235,4.293,3.571,1.881,2.419,1.150
2019,Espa–ola,3.768,783,-43,-104,769,797,235,1.750,805,23,921,126,351,-301,131,2.890,1.014,1.890,959,146,728
2019,Extranjera,2.899,954,939,1.816,1.044,2.354,1.184,1.842,1.049,3.704,5.526,3.015,5.315,1.153,2.907,2.345,3.279,1.675,921,2.269,422
2020,Total,5.677,1.912,1.186,1.827,1.808,3.497,1.483,3.996,2.375,4.022,7.321,3.456,6.248,1.089,3.737,5.139,5.638,4.189,1.941,3.070,1.088
2020,Espa–ola,2.362,824,209,-229,727,1.050,169,1.935,1.187,-230,1.117,53,574,-171,561,3.001,1.797,2.220,1.046,282,649
2020,Extranjera,3.314,1.088,977,2.056,1.081,2.448,1.314,2.061,1.189,4.250,6.203,3.403,5.671,1.260,3.176,2.138,3.842,1.966,892,2.785,439
2020,Total,1.808,858,81,333,241,1.381,384,2.071,1.332,1.633,3.684,1.495,3.329,-162,1.396,3.198,3.290,2.765,1.279,1.736,673
2020,Espa–ola,-543,127,-565,-1.157,-402,-92,-679,651,423,-1.393,-461,-669,-733,-728,-535,1.633,695,1.163,669,-416,395
2020,Extranjera,2.353,728,645,1.490,644,1.475,1.063,1.421,911,3.027,4.146,2.166,4.060,567,1.932,1.565,2.594,1.603,609,2.153,275
2021,Total,622,-1.877,-2.284,-2.217,-2.185,-2.101,-2.743,-2.921,-1.161,-2.632,-2.297,-844,-2.578,-2.048,-3.620,-609,-25,-77,1.399,-1.379,-71
2021,Espa–ola,-2.015,-2.147,-2.364,-2.916,-2.415,-2.241,-3.048,-2.783,-1.441,-3.706,-3.386,-1.600,-3.875,-1.975,-3.879,-965,-911,-692,970,-2.024,-152
2021,Extranjera,2.637,266,79,700,234,141,304,-137,281,1.079,1.090,756,1.299,-72,259,356,887,619,429,647,78
2021,Total,963,-2.159,-1.955,-1.638,-2.232,-2.659,-2.795,-3.200,-848,-3.498,-3.451,-1.452,-4.461,-2.143,-4.328,-834,-634,-656,2.849,-1.664,-135
2021,Espa–ola,-1.185,-1.899,-1.897,-1.895,-1.893,-1.796,-2.581,-1.761,-581,-2.621,-2.155,-758,-3.081,-1.806,-3.305,-518,-240,-468,2.577,-1.441,0
2021,Extranjera,2.146,-261,-58,258,-336,-862,-214,-1.440,-267,-874,-1.294,-696,-1.377,-338,-1.024,-316,-390,-186,272,-220,-135
2022,Total,-1.430,-1.272,-617,-247,-1.184,-2.034,-925,-856,-257,-2.511,-2.538,-1.301,-2.752,-1.200,-2.365,573,-585,353,3.808,-1.002,129
2022,Espa–ola,-1.947,-930,-713,-868,-938,-1.322,-1.071,-211,94,-1.543,-1.316,-133,-1.541,-1.079,-1.719,241,-177,55,3.285,-922,214
2022,Extranjera,519,-338,96,622,-247,-713,146,-645,-351,-966,-1.219,-1.170,-1.209,-121,-646,332,-405,298,527,-77,-84
2022,Total,-470,222,267,397,47,1.535,935,1.640,548,2.552,4.404,1.817,3.219,117,2.469,4.541,3.297,2.047,4.912,1.770,-1.314
2022,Espa–ola,-2.090,-445,-393,-1.238,-705,-378,-403,-236,55,-961,-726,-136,-1.091,-853,-434,2.175,139,237,3.247,-884,-1.428
2022,Extranjera,1.621,672,659,1.636,751,1.910,1.338,1.878,492,3.513,5.130,1.951,4.310,971,2.907,2.365,3.158,1.808,1.667,2.655,117
