Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2022;20.587
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2021;19.199
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2020;18.314
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2019;18.789
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2018;17.932
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2017;16.711
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2016;16.147
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2015;15.512
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2022;21.383
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2021;20.103
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2020;19.284
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2019;19.088
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2018;18.473
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2017;17.738
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2016;17.306
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2015;16.855
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2022;25.407
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2021;23.925
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2020;23.227
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2019;23.262
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2018;22.706
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2017;21.598
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2016;21.504
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2015;20.900
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2022;28.140
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2021;25.956
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2020;25.932
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2019;25.770
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2018;26.255
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2017;24.683
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2016;24.433
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2015;23.009
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2022;30.506
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2021;28.233
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2020;27.719
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2019;27.634
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2018;28.190
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2017;26.267
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2016;25.969
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2015;24.155
28079 Madrid;2807906 Madrid distrito 06;;Renta neta media por persona;2022;18.062
